customer_id,product_id,recommended_promotion_id,discount,promo_type,score,product_name
CUS-00001,PRD-0091,,0.0,,1.0,Downy น้ำดื่ม #91
CUS-00001,PRD-0005,,0.0,,0.5,Knorr ขนมขบเคี้ยว #5
CUS-00001,PRD-0065,,0.0,,0.3333333333333333,Dutch Mill สมุด #65
CUS-00001,PRD-0044,,0.0,,0.25,Double A เนื้อสัตว์ #44
CUS-00001,PRD-0033,,0.0,,0.2,Ichitan น้ำยาล้างจาน #33
CUS-00002,PRD-0009,,0.0,,1.0,Unilever ปากกา #9
CUS-00002,PRD-0019,,0.0,,0.5,Lux สมุด #19
CUS-00002,PRD-0025,,0.0,,0.3333333333333333,Unilever น้ำผลไม้ #25
CUS-00002,PRD-0014,,0.0,,0.25,Knorr บะหมี่กึ่งสำเร็จรูป #14
CUS-00002,PRD-0028,,0.0,,0.2,Ichitan น้ำยาล้างจาน #28
CUS-00003,PRD-0072,,0.0,,1.0,CP กาว #72
CUS-00003,PRD-0095,,0.0,,0.5,Betagro กาแฟ #95
CUS-00003,PRD-0044,,0.0,,0.3333333333333333,Double A เนื้อสัตว์ #44
CUS-00003,PRD-0005,,0.0,,0.25,Knorr ขนมขบเคี้ยว #5
CUS-00003,PRD-0089,,0.0,,0.2,Knorr นม #89
CUS-00004,PRD-0057,,0.0,,1.0,Dutch Mill กาว #57
CUS-00004,PRD-0031,,0.0,,0.5,CP แชมพู #31
CUS-00004,PRD-0090,,0.0,,0.3333333333333333,Thai Union ขนมขบเคี้ยว #90
CUS-00004,PRD-0072,,0.0,,0.25,CP กาว #72
CUS-00004,PRD-0041,,0.0,,0.2,CP ขนมขบเคี้ยว #41
CUS-00005,PRD-0082,,0.0,,1.0,Sunsilk น้ำยาล้างจาน #82
CUS-00005,PRD-0042,,0.0,,0.5,Ichitan กาแฟ #42
CUS-00005,PRD-0079,,0.0,,0.3333333333333333,P&G สมุด #79
CUS-00005,PRD-0001,,0.0,,0.25,CP ปากกา #1
CUS-00005,PRD-0096,,0.0,,0.2,Sunsilk สบู่ #96
CUS-00006,PRD-0097,,0.0,,1.0,Thai Union กาว #97
CUS-00006,PRD-0095,,0.0,,0.5,Betagro กาแฟ #95
